,model,test mse,test preds std,epochs,learning rate,n_nodes_per_layer,n_factors,batch_size,dropout_prob,patience,early stopping metric
37,37,0.9289271867088984,0.6995278596878052,250,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
38,38,0.9552273888468079,0.6216264963150024,250,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
39,39,0.9413170283566604,0.5417420864105225,250,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
40,40,1.021591228603704,0.5991636514663696,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
41,41,0.8884701459587483,0.5652526617050171,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
42,42,0.9338785740333062,0.5336142182350159,250,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
43,43,0.9523837738554084,0.4929946660995483,250,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2,5,val_loss
44,44,0.9481718960487344,0.7389269471168518,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
45,45,0.9218975546500232,0.6177046895027161,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
46,46,0.9798527048549338,0.4914095401763916,250,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
47,47,0.953846090430916,0.469529539346695,250,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2,5,val_loss
48,48,0.9052090630576044,0.6811763644218445,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
49,49,0.8914679185687513,0.5828208923339844,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
50,50,0.9331224145958492,0.6311220526695251,250,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
51,51,0.9890983056219372,0.565360426902771,250,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2,5,val_loss
52,52,0.9247599905471694,0.5723780393600464,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
53,53,0.9323836247526271,0.5926540493965149,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
54,54,0.9565913245540127,0.5476946234703064,250,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
55,55,1.254869346954895,2.384185791015625e-07,250,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2,5,val_loss
56,56,1.2566984286344158,7.152557373046875e-07,250,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
57,57,0.9170840370539552,0.7627776861190796,250,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
58,58,0.9729865018897637,0.5761100053787231,250,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
59,59,0.9572085615296664,0.5882845520973206,250,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",200,256,0.2,5,val_loss
