,model,test mse,test preds std,epochs,learning rate,n_nodes_per_layer,n_factors,batch_size,dropout_prob
41,41,18.59085305255285,0.2736467123031616,25,1e-06,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
42,42,1.0667934093354223,0.8446479439735413,25,0.1,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
43,43,0.898512716401947,0.6372710466384888,25,0.01,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
44,44,0.9712339169982528,0.5251609683036804,25,0.001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
45,45,8.934990468960882,1.1920928955078125e-07,25,0.0001,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
46,46,9.391245980940717,0.2832033634185791,25,1e-05,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
47,47,12.716416083156965,0.1819133162498474,25,1e-06,"[512, 256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
48,48,1.2554109981460315,4.76837158203125e-07,25,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
49,49,0.8749356636104525,0.6800888776779175,25,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
50,50,1.1319285539682118,0.3789780139923096,25,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
51,51,8.947016835371745,1.1920928955078125e-07,25,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
52,52,7.1772639373452245,0.7504060864448547,25,1e-05,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
53,53,15.92335652432164,0.587195098400116,25,1e-06,"[256, 128, 64, 32, 16, 8, 4, 2]",5,256,0.2
54,54,0.9747624429066284,0.7917992472648621,25,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
55,55,0.9194851215257904,0.6729406714439392,25,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
56,56,0.8968431175452016,0.5013180375099182,25,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
57,57,1.2328286808363895,0.5203552842140198,25,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
58,58,7.8847217870516175,0.9301773309707642,25,1e-05,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
59,59,14.332032709678366,0.2376563251018524,25,1e-06,"[256, 128, 64, 32, 16, 8, 4, 2]",25,256,0.2
60,60,1.2781480317513976,2.384185791015625e-07,25,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
61,61,0.9103775757686696,0.651181161403656,25,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
62,62,0.8871472483188543,0.5685003995895386,25,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
63,63,1.2604829692797346,0.4415868222713471,25,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
64,64,4.743873735182012,0.7400644421577454,25,1e-05,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
65,65,13.90724845746219,0.16198624670505524,25,1e-06,"[256, 128, 64, 32, 16, 8, 4, 2]",50,256,0.2
66,66,1.2576917943419184,4.76837158203125e-07,25,0.1,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
67,67,0.9121611460905096,0.6981522440910339,25,0.01,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
68,68,0.9328459663749392,0.4837870299816132,25,0.001,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
69,69,1.107952816580799,0.498510479927063,25,0.0001,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
70,70,11.640006707793445,0.3867911100387573,25,1e-05,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
71,71,13.471565438835347,0.10804425925016403,25,1e-06,"[256, 128, 64, 32, 16, 8, 4, 2]",100,256,0.2
