dataset_name,sim_method,algo,sim_threshold,neighbors,sig_weight,weighting_factor,coverage,mse,rmse,mae
ml-100k,TFIDF,new_get_TFIDF_recommendations,0.0,0,0,0,0.9974299999999999,1.0484021866659676,1.0239151266906683,0.8168406153924466
ml-100k,TFIDF,new_get_TFIDF_recommendations,0.3061939222,0,0,0,0.99715,1.0541741177007613,1.0267298172843533,0.8183591574871515
ml-100k,TFIDF,new_get_TFIDF_recommendations,0.5764484463073936,0,0,0,0.98334,1.1042570698347522,1.0508363668215677,0.8290470911608063
ml-100k,TFIDF,new_get_TFIDF_recommendations,0.8467029704,0,0,0,0.83227,1.2673983062983443,1.125787860255361,0.8634657472454377
